platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_palladam_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,64gGl45a_Uw,,https://www.youtube.com/watch?v=64gGl45a_Uw,NewsTamil 24X7,குத்தாட்டம் போட்ட பெண்கள் - குலுங்கிய திருப்பூர்.. களைகட்டிய திமுக மாநாடு | Dmk Manadu,,,,24511,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,unknown
youtube,post,2X-OzlmuvPI,,https://www.youtube.com/watch?v=2X-OzlmuvPI,King 360,🔴LIVE : திமுக மேற்கு மண்டல மாபெரும் மகளிர் அணி மாநாடு !! DMK Womens Wing Manadu 2025 | CM MK Stalin,,,,53381,,,,scrapy_youtube,2026-03-27T22:02:05.932520,dmk,True,,,,unknown
youtube,post,JFSSu8uJBs8,,https://www.youtube.com/watch?v=JFSSu8uJBs8,nijanthan talks,அண்ணாமலை போட்டியிடும் தொகுதி எது? பாஜகவில் புயல் வீசுகிறதா? | ANNAMALAI | NIJANTHAN | BJP | VIJAY,,,,4902,,,,scrapy_youtube,2026-03-27T22:02:03.516748,tvk,True,,,,unknown
youtube,post,7ewyMnCU4o8,,https://www.youtube.com/watch?v=7ewyMnCU4o8,Sun News,DMK Women's Wing Conference | Palladam | Western Region | Sun News,,,,29214,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,tiruppur
youtube,post,R6kBaMffMIQ,,https://www.youtube.com/watch?v=R6kBaMffMIQ,News18 Tamil Nadu,DMK Magalir Maanadu | திமுக மகளிர் மாநாடு: கலை நிகழ்ச்சிகளுடன் தொடக்கம்! | Palladam,,,,14289,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,tiruppur
youtube,post,qcL0zZFvsxY,,https://www.youtube.com/watch?v=qcL0zZFvsxY,POV,உறுதியான TVK வேட்பாளர் பட்டியல்..? | TVK Assembly Elections Candidate list Part 1 | TVK Vijay,,,,186196,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,unknown
youtube,post,DF9hlTew2Jc,,https://www.youtube.com/watch?v=DF9hlTew2Jc,News18 Tamil Nadu,BREAKING | TVK | Vijay | தவெக இரண்டாம் கட்ட வேட்பாளர்கள் இன்று தேர்வு | TVK Candidates | NewsTamil,,,,15232,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tamil_nadu_general
youtube,post,IEG0EZNQacs,,https://www.youtube.com/watch?v=IEG0EZNQacs,PuthiyathalaimuraiTV,#BIGBREAKING | மகளிர் கூட்டத்தால் நிரம்பி வழியும் திருப்பூர் மாநாடு | #dmk | #women | #kanimozhi,,,,48444,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,unknown
youtube,post,RkW9qAxh0Nw,,https://www.youtube.com/watch?v=RkW9qAxh0Nw,Sun News,Palladam | DMK Pengal Manadu | Kanimozhi Speech | MK Stalin | Kanimozhi | Sun News,,,,6009,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,tiruppur
youtube,post,HSIcrPqyC6I,,https://www.youtube.com/watch?v=HSIcrPqyC6I,PuthiyathalaimuraiTV,🔴LIVE | DMK Maanadu | திமுக மகளிரணி மாநாடு - ஏற்பாடுகள் தீவிரம் | MKStalin,,,,12178,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,unknown
youtube,post,hTEEsLzjCtg,,https://www.youtube.com/watch?v=hTEEsLzjCtg,Sun News,பஞ்சமி நிலத்தை மீட்டுத்தரக்கோரி கிராம மக்கள் ஆர்ப்பாட்டம் - தள்ளுமுள்ளு | Palladam SC people protest,,,,3061,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tiruppur
youtube,post,8EzON5nVdoc,,https://www.youtube.com/watch?v=8EzON5nVdoc,PuthiyathalaimuraiTV,🔴LIVE: திமுக மகளிரணி மாநாடு - தொடர் நேரலை | DMK | MK Stalin | Kanimozhi | Udhayanidhi Stalin,,,,17528,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,unknown
youtube,post,M4KYD_XfIB0,,https://www.youtube.com/watch?v=M4KYD_XfIB0,Gem Television,"🔴LIVE : EDAPPADI K PALANISAMY | திருப்பூர் (வடக்கு), திருப்பூர் (தெற்கு), பல்லடம் #admk",,,,663,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,admk,tvk",True,,,,salem
youtube,post,YV5_4RUC4jE,,https://www.youtube.com/watch?v=YV5_4RUC4jE,NewsTamil 24X7,🔴LIVE : திமுக மகளிரணி மாநாடு.. விறுவிறுப்பாக தயாராகும் கொங்கு மண்டலம்! | Tirupur | DMK Womens Wing,,,,26419,,,,scrapy_youtube,2026-03-27T22:02:03.516233,"dmk,tvk",True,,,,tiruppur
youtube,post,qdwTBxFPWl4,,https://www.youtube.com/watch?v=qdwTBxFPWl4,comedy brothers and animals,டீலர் விலைக்கு கார்கள் திருச்செந்தூர் முருகன் கார்ஸ் பல்லடம் #palladam #tiruppur ,,,,6126,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tiruppur
youtube,post,-9kP8lNNeKc,,https://www.youtube.com/watch?v=-9kP8lNNeKc,The K TV,"Palladam பண்ணை வீட்டு சம்பவத்தில் கிடைத்துள்ள முக்கிய திருப்பம் யார் அந்த "" மூப்பன்?The K Tv",,,,128389,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tiruppur
youtube,post,JLS0K0UB_yw,,https://www.youtube.com/watch?v=JLS0K0UB_yw,NewsTamil 24X7,"4 பேர் படுகொலை சம்பவம், மேலும் இருவர் கைது - அதிரடி காட்டிய தனிப்படை போலீசார் | Palladam",,,,9189,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tiruppur
youtube,post,9o1JM1KlEow,,https://www.youtube.com/watch?v=9o1JM1KlEow,Sathiyam News,TVK Vijay Full Speech | Vijay Latest Speech,,,,751891,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,unknown
youtube,post,DcL5_BRwSHg,,https://www.youtube.com/watch?v=DcL5_BRwSHg,Sun News,வாகன நெரிசலில் ஆம்புலன்ஸ் வாகனங்கள் சிக்கியதால் பரபரப்பு | Palladam Ambulance,,,,2889,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,tiruppur
youtube,post,57TkwzpBLKs,,https://www.youtube.com/watch?v=57TkwzpBLKs,Dinamalar,பல்லடம் தொகுதி,,,,987,,,,scrapy_youtube,2026-03-27T22:02:03.516233,tvk,True,,,,unknown
