author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
Tamil Spicy,,m6HeoY_yADc,False,,,neutral,0.5793,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.822963,AIADMK wins in Kongu area | Opinion poll released | ADMK VS DMK,post,https://www.youtube.com/watch?v=m6HeoY_yADc,29152
Ko Pa Se,,DYkWbfHnMKY,False,,,neutral,0.8023,1.8605,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,கொங்கு யாருக்கு : அதிமுக கோட்டையில் திமுக கொடி ? | 2026 தேர்தல் ரிப்போர்ட் | ADMK | DMK | TVK | BJP,post,https://www.youtube.com/watch?v=DYkWbfHnMKY,990
Thanthi TV,,3UUdoixPJS8,True,,,neutral,0.6139,0.4651,,"dmk,admk",youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:58:33.822963,Dharapuram | கொங்கு மண்ணில்.. திமுக-அதிமுக இரண்டும் ஸ்ட்ராங்காக இருக்கும் தாராபுரம் யாருக்கு?,post,https://www.youtube.com/watch?v=3UUdoixPJS8,8924
Desiya Siragugal,,-uDoxCCy9bY,False,,,neutral,0.6538,1.3953,,"dmk,admk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:33.822963,கொங்கு மண்டலத்தை மீண்டும் கைப்பற்றுமா அதிமுக ? | ADMK | Tamil Nadu Elections 2021 | Kongu Region,post,https://www.youtube.com/watch?v=-uDoxCCy9bY,3998
Thanthi TV,,qV_a2Bk7DiE,False,,,neutral,0.4724,0.4651,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.821944,TherthalThiruvizha கொங்கு மண்டலத்தின் பெரிய தொகுதி - தோல்வியே காணாத அதிமுக; பவரை காட்டும் திமுக,post,https://www.youtube.com/watch?v=qV_a2Bk7DiE,13638
Sathiyam News,,8_tj5Q1dN_I,False,,,neutral,0.8306,0.4651,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.821944,கொங்கு மண்டலத்தில் யார்-யார்?அதிமுக வேட்பாளர் பட்டியலில் ட்விஸ்ட்,post,https://www.youtube.com/watch?v=8_tj5Q1dN_I,25306
Hindu Tamil Thisai,,ogySGDd9jjs,False,,,neutral,0.8306,2.3256,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.821944,அதிமுக Vs திமுக Vs தவெக | கொங்கு ‘கிங்’ யார்? | AIADMK vs DMK vs TVK | Election 2026,post,https://www.youtube.com/watch?v=ogySGDd9jjs,32382
King 360,,sOHulu_snH8,False,,,neutral,0.7874,0.4651,,admk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:21.802770,கொங்கு மண்டலத்தில் வெற்றி யாருக்கு ? திமுக vs அதிமுக || 📊 TN Election 2026 Opinion Poll | Kongu Zone,post,https://www.youtube.com/watch?v=sOHulu_snH8,96485
NewsTamil 24X7,,d5YnxxaDkxc,False,,,neutral,0.7162,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.821944,#BREAKING ||admk Candidate List |வெளியானது அதிமுக வேட்பாளர் பட்டியல்.. மிரளவைக்கும் முக்கிய முகங்கள்,post,https://www.youtube.com/watch?v=d5YnxxaDkxc,6166
NewsTamil 24X7,,zXUIBvfxCxk,False,,,negative,0.6391,1.3953,,"dmk,admk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:33.820427,NewsTamil Kazhugu | கொங்கு மண்டலம் : குஷியில் அதிமுக.. குழப்பத்தில் திமுக! | DMK | ADMK,post,https://www.youtube.com/watch?v=zXUIBvfxCxk,3200
