platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=J11D6AkRfCw&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Live: சென்னையில் தவெக தலைவர் விஜய் தேர்தல் பிரச்சாரம்   | TVK | VIJAY,Title: Live: சென்னையில் தவெக தலைவர் விஜய் தேர்தல் பிரச்சாரம்   | TVK | VIJAY Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.412633,tvk,False,neutral,0.8139,1.3953,chennai
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,https://www.youtube.com/watch?v=xTHpsLKKgLk&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை,Title: TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.411631,tvk,False,neutral,0.8312,0.9302,tirupattur
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=y-AwX70f51I&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam || DMK candidate's speech interrupted by Nataka volunteers.. stir in debate,Title: Therthal Payanam || DMK candidate's speech interrupted by Nataka volunteers.. stir in debate Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.409228,dmk,False,negative,0.6301,0.4651,unknown
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=8pDCMnw-COs&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam || How is government job possible for everyone? The teacher's death question!,Title: Therthal Payanam || How is government job possible for everyone? The teacher's death question! Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.408198,,False,neutral,0.5159,0.0,unknown
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,https://www.youtube.com/watch?v=14WPsJygKl0&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr,,Therthal Payanam | நிதானமிழந்த நாதக வேட்பாளர்!விவாதத்தில் திமுகவினரை பார்த்து சொன்ன 'அந்த' வார்த்தை,Title: Therthal Payanam | நிதானமிழந்த நாதக வேட்பாளர்!விவாதத்தில் திமுகவினரை பார்த்து சொன்ன 'அந்த' வார்த்தை Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.407181,,False,neutral,0.5978,0.0,unknown
youtube,post,3ttt465Hm2U,,https://www.youtube.com/watch?v=3ttt465Hm2U,NewsJ,கொங்கு மண்டலத்தில் எதிரிகளே இல்லாத அளவிற்கு அதிமுக பலமாகவுள்ளது | ADMK |,,,,682,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,neutral,0.4508,1.3953,unknown
youtube,post,cyBpook9lAw,,https://www.youtube.com/watch?v=cyBpook9lAw,BBC News Tamil,Edappadi Palaniswami : கை கொடுத்த Kongu Belt ; காலை வாரிய South Tamil Nadu – என்ன காரணம்? | AIADMK |,,,,15110,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",True,neutral,0.6163,1.8605,salem
youtube,post,Gz45oIksddw,,https://www.youtube.com/watch?v=Gz45oIksddw,PuthiyathalaimuraiTV,கொங்கு மண்டலத்தில் அதிமுக வலுவாக உள்ளது: ஈரோடு அதிமுக வேட்பாளர் மணிமாறன் | #ADMK,,,,1280,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,neutral,0.6307,1.3953,unknown
youtube,post,lwff_diyN2E,,https://www.youtube.com/watch?v=lwff_diyN2E,The Debate,அதிமுக கொங்கு மண்டல வேட்பாளர் லிஸ்ட்  | EPS களமிறக்கும் 10 பேர் | AIADMK Candidate List | The Debate,,,,281394,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,neutral,0.7948,2.3256,unknown
youtube,post,zr3G1YDnbUI,,https://www.youtube.com/watch?v=zr3G1YDnbUI,Asianet News Tamil,60 தொகுதிகளில் செக்...அண்ணாமலையின் கொங்கு ஸ்கெட்ச்..! அலறும் அதிமுக..!,,,,17327,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,negative,0.5014,0.4651,unknown
