platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_palladam_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,M4KYD_XfIB0,,https://www.youtube.com/watch?v=M4KYD_XfIB0,Gem Television,"🔴LIVE : EDAPPADI K PALANISAMY | திருப்பூர் (வடக்கு), திருப்பூர் (தெற்கு), பல்லடம் #admk",,,,663,,,,scrapy_youtube,2026-03-30T19:34:44.806526,"dmk,admk,tvk",True,,,,salem
youtube,post,M4KYD_XfIB0,,https://www.youtube.com/watch?v=M4KYD_XfIB0,Gem Television,"🔴LIVE : EDAPPADI K PALANISAMY | திருப்பூர் (வடக்கு), திருப்பூர் (தெற்கு), பல்லடம் #admk",,,,663,,,,scrapy_youtube,2026-03-30T20:20:27.664358,"dmk,admk,tvk",True,,,,salem
youtube,post,M4KYD_XfIB0,,https://www.youtube.com/watch?v=M4KYD_XfIB0,Gem Television,"🔴LIVE : EDAPPADI K PALANISAMY | திருப்பூர் (வடக்கு), திருப்பூர் (தெற்கு), பல்லடம் #admk",,,,663,,,,scrapy_youtube,2026-03-30T21:24:37.924641,"dmk,admk,tvk",True,,,,salem
youtube,post,M4KYD_XfIB0,,https://www.youtube.com/watch?v=M4KYD_XfIB0,Gem Television,"🔴LIVE : EDAPPADI K PALANISAMY | திருப்பூர் (வடக்கு), திருப்பூர் (தெற்கு), பல்லடம் #admk",,,,663,,,,scrapy_youtube,2026-03-30T21:37:24.586687,"dmk,admk,tvk",True,,,,salem
youtube,post,cyBpook9lAw,,https://www.youtube.com/watch?v=cyBpook9lAw,BBC News Tamil,Edappadi Palaniswami : கை கொடுத்த Kongu Belt ; காலை வாரிய South Tamil Nadu – என்ன காரணம்? | AIADMK |,,,,15110,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",True,neutral,0.6163,1.8605,salem
youtube,post,i_YmaC4LgvE,,https://www.youtube.com/watch?v=i_YmaC4LgvE,Sathiyam News,🔴LIVE: திருப்பூர் திமுக மாநாடு - CM ஸ்டாலின் SPEECH |  M.K.Stalin |DMK Tirupattur,,,,9868,,,,scrapy_youtube,2026-03-30T21:58:26.246885,"dmk,admk",True,neutral,0.8122,1.8605,salem
youtube,post,1n_Rm3KFo6k,,https://www.youtube.com/watch?v=1n_Rm3KFo6k,IBC Tamil,கொங்கு வெள்ளாள கவுண்டர் ஓட்டு எடப்பாடியாருக்கு விழாது..! | Thaniyarasu Interview | EPS | ADMK Issue,,,,1789,,,,scrapy_youtube,2026-03-30T21:58:23.482591,"dmk,admk,tvk",True,neutral,0.6345,1.3953,salem
twitter,post,2038464233977917650,,https://twitter.com/dravidasishu/status/2038464233977917650,dravida sishu dravidasishu · 18h,,I didn’t say that. I predicted 35-39% for  Admk  alliance. Edappadi azhugachi in the last minute created some stupid sympathy in  Kongu    My predictions for  Admk  in 2016 and 2024 were spot on and actually over estimated them in 2019.,,,,,,,scrapy_twitter_auth,2026-03-30T22:00:04.316895,"dmk,admk",True,negative,0.8931,1.3953,salem
