platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,video,ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,https://www.youtube.com/watch?v=xTHpsLKKgLk&pp=ygUXZXJvZGUgYWRtayBPUiBlcm9kZSBkbWs%3D,,TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை,Title: TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:27:43.637746,tvk,False,neutral,0.8312,0.9302,tirupattur
youtube,video,ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,https://www.youtube.com/watch?v=xTHpsLKKgLk&pp=ygUddGlydXBwdXIgZG1rIE9SIHRpcnVwcHVyIGFkbWs%3D,,TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை,Title: TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:27:33.554694,tvk,False,neutral,0.8312,0.9302,tirupattur
youtube,video,ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,https://www.youtube.com/watch?v=xTHpsLKKgLk&pp=ygUzY29pbWJhdG9yZSBkbWsgT1IgY29pbWJhdG9yZSBhZG1rIE9SIGNvaW1iYXRvcmUgdHZr0gcJCdkKAYcqIYzv,,TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை,Title: TVK Vijay Election Campaign LIVE from Perambur | தமிழக வெற்றிக் கழகம் தேர்தல் பிரசாரம் நேரலை Channel:          ,,,,,,,scrapling_youtube,2026-03-31T03:26:57.411631,tvk,False,neutral,0.8312,0.9302,tirupattur
facebook,post,d8b3f3d5ca5e32f6,,https://www.facebook.com/search/posts?q=coimbatore%20dmk%20OR%20coimbatore%20admk%20OR%20coimbatore%20tvk,,,"But instead, he steps into Trichy East & Perambur (Chennai) — the heartlands of the Dravida …  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:58:42.023928,"dmk,admk,tvk",False,neutral,0.658,0.4651,tirupattur
facebook,post,72aee2be8be8cc36,,https://www.facebook.com/search/posts?q=coimbatore%20dmk%20OR%20coimbatore%20admk%20OR%20coimbatore%20tvk,,,"Vijay could have chosen a fan-stronghold like Madurai or a safe rural seat. But instead, he steps into Trichy East & Perambur (Chennai) — the heartlands of the Dravida …  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:58:42.022932,"dmk,admk,tvk",False,neutral,0.4179,0.9302,tirupattur
facebook,post,72aee2be8be8cc36,,https://www.facebook.com/search/posts?q=coimbatore%20dmk%20OR%20coimbatore%20admk%20OR%20coimbatore%20tvk,,,"Vijay could have chosen a fan-stronghold like Madurai or a safe rural seat. But instead, he steps into Trichy East & Perambur (Chennai) — the heartlands of the Dravida …  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:58:42.020457,"dmk,admk,tvk",False,neutral,0.4179,0.9302,tirupattur
