platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
facebook,post,55082f230201e789,,https://www.facebook.com/search/posts?q=kongu%20admk%20OR%20kongu%20aiadmk%20OR%20kongu%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,As expected they are sweeping KONGU belt but what many didn't predict in Pre poll or exit polls is the performance of their alliance in North TN and South TN (Especially Tenkasi/ Tirunelveli),,,,,,,scrapy_facebook_search,2026-03-30T21:59:38.942277,"dmk,admk",False,neutral,0.4039,0.0,tirunelveli
facebook,post,364ae593d9c7df05,,https://www.facebook.com/search/posts?q=kongu%20admk%20OR%20kongu%20aiadmk%20OR%20kongu%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,"#TNElections2021 ADMK+ getting above 80 itself is a great achievement without JAYALALITHA!! As expected they are sweeping KONGU belt but what many didn't predict in Pre poll or exit polls is the performance of their alliance in North TN and South TN (Especially Tenkasi/ Tirunelveli)  Edapadi has proved his experience in Politics, announcing the reservation for the Predominant communities just before the elections has worked for them.…  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:59:38.941191,"dmk,admk",False,positive,0.4091,0.9302,tirunelveli
facebook,post,364ae593d9c7df05,,https://www.facebook.com/search/posts?q=kongu%20admk%20OR%20kongu%20aiadmk%20OR%20kongu%20%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%AE%E0%AF%81%E0%AE%95,,,"#TNElections2021 ADMK+ getting above 80 itself is a great achievement without JAYALALITHA!! As expected they are sweeping KONGU belt but what many didn't predict in Pre poll or exit polls is the performance of their alliance in North TN and South TN (Especially Tenkasi/ Tirunelveli)  Edapadi has proved his experience in Politics, announcing the reservation for the Predominant communities just before the elections has worked for them.…  See more",,,,,,,scrapy_facebook_search,2026-03-30T21:59:38.940454,"dmk,admk",False,positive,0.4091,0.9302,tirunelveli
